x,y,r,maturity,stress,nab1,t_birth,t_death
436,-143,150,1,0,0,1524.3,1583.2
276,165,150,1,0,0,1568.5,1583.7
493,-430,150,0,0,0,1584.3,-1584.3
411,-32,150,1,0,0,1566.4,1584.4
900,-385,150,1,0,0,1562.0,1584.9
279,12,150,1,0,0,1504.9,1585.1
196,-418,150,1,0,0,1519.7,1585.4
631,-69,150,1,0,0,1555.7,1585.7
281,341,150,1,0,0,1587.2,1588.4
519,-362,150,0,0,0,1589.3,-1589.3
12,458,150,1,0,0,1574.6,1589.6
93,-42,150,1,0,0,1580.9,1589.9
481,-467,150,1,0,0,1585.2,1589.9
217,327,150,1,0,0,1587.5,1590.3
269,-489,150,1,0,0,1582.0,1591.0
866,-95,150,0,0,0,1591.0,-1591.0
912,196,150,1,0,0,1589.4,1591.5
769,267,150,0,0,0,1592.0,-1592.1
982,28,150,1,0,0,1559.3,1592.2
698,-134,150,1,0,0,1554.2,1592.8
998,-459,150,1,0,0,1566.9,1592.8
310,-362,150,1,0,0,1574.4,1594.3
24,31,150,1,0,0,1578.3,1595.8
55,309,150,1,0,0,1590.7,1595.9
562,-254,150,0,0,0,1596.3,-1596.3
179,75,150,1,0,0,1597.4,1598.5
862,34,150,1,0,0,1581.5,1599.1
133,-197,150,1,0,0,1596.9,1600.2
153,-80,150,1,0,0,1572.7,1602.2
378,-151,150,1,0,0,1574.3,1602.9
789,284,150,0,0,0,1603.3,-1603.4
274,-498,150,1,0,0,1530.0,1603.5
611,313,150,0,0,0,1604.3,-1604.4
375,-160,150,1,0,0,1602.5,1605.1
322,-320,150,1,0,0,1600.9,1609.1
376,453,150,1,0,0,1592.5,1609.3
420,-261,150,0,0,0,1609.8,-1609.9
58,330,150,1,0,0,1609.0,1610.9
730,-340,150,1,0,0,1577.6,1611.1
295,38,150,1,0,0,1589.7,1611.5
245,1,150,1,0,0,1611.6,1612.7
413,340,150,1,0,0,1588.8,1613.4
685,298,150,0,0,0,1613.9,-1613.9
962,80,150,1,0,0,1599.9,1615.0
751,-259,150,0,0,0,1615.4,-1615.4
10,36,150,1,0,0,1549.4,1615.4
246,-154,150,1,0,0,1603.1,1615.6
283,-480,150,1,0,0,1613.1,1617.2
172,-47,150,1,0,0,1606.6,1618.5
906,329,150,1,0,0,1608.0,1619.7
140,-394,150,1,0,0,1606.4,1619.9
746,190,150,0,0,0,1621.6,-1621.6
717,42,150,1,0,0,1619.4,1621.8
273,-267,150,1,0,0,1619.4,1622.6
943,99,150,1,0,0,1617.6,1623.0
341,-197,150,1,0,0,1611.4,1623.2
676,-383,150,0,0,0,1624.3,-1624.4
420,-385,150,0,0,0,1625.2,-1625.2
753,250,150,0,0,0,1625.2,-1625.2
502,369,150,1,0,0,1608.2,1626.8
410,155,150,1,0,0,1598.1,1627.5
288,-391,150,1,0,0,1620.2,1629.4
288,390,150,1,0,0,1627.8,1629.8
415,250,150,1,0,0,1604.3,1630.1
956,-42,150,0,0,0,1629.9,-1630.2
102,-228,150,1,0,0,1627.4,1631.3
171,-171,150,1,0,0,1626.1,1631.3
534,-85,150,1,0,0,1584.0,1631.5
477,-151,150,1,0,0,1604.4,1632.8
548,-404,150,0,0,0,1634.0,-1634.1
52,466,150,1,0,0,1623.4,1634.5
712,-464,150,1,0,0,1614.6,1635.8
321,-286,150,1,0,0,1617.9,1636.0
384,185,150,1,0,0,1606.8,1637.4
410,351,150,1,0,0,1591.3,1637.9
276,276,150,1,0,0,1636.7,1637.9
399,-399,150,1,0,0,1620.7,1638.5
525,-171,150,0,0,0,1639.7,-1639.8
508,-283,150,0,0,0,1640.1,-1640.1
105,-281,150,1,0,0,1633.1,1640.4
532,419,150,1,0,0,1600.7,1640.6
